timestamp,particle_position,user_goal,velocity,collision,success
3.9587860107421875,"[233.72209824848002, 241.08889162631218]","[249.93140317921322, 260.04265894194333]","[324.96501223047125, 379.9970164040212]",False,True
4.009967088699341,"[236.99604441632178, 244.8679491369093]","[253.64462891281735, 264.08474820979893]","[327.39461678417456, 377.90575105971175]",False,True
4.061774015426636,"[240.2966356366297, 248.623757543771]","[257.4364206725168, 268.12722143805956]","[330.0591220307929, 375.58084068617245]",False,True
4.112788200378418,"[243.61797949382964, 252.3612264986396]","[261.2215902219104, 272.1702064140094]","[332.13438571999444, 373.74689548685916]",False,True
4.1648108959198,"[246.96150152788496, 256.07886817428414]","[265.07015577390763, 276.21366735553204]","[334.3522034055318, 371.76416756445275]",False,True
4.217268943786621,"[250.3224776302226, 259.780737820017]","[268.9138542400339, 280.2577078919757]","[336.09761023376353, 370.18696457328775]",False,True
4.270791053771973,"[253.70159635695867, 263.466054072278]","[272.8067056682472, 284.3023041366348]","[337.91187267360533, 368.53162522609676]",False,True
4.32316780090332,"[257.09515235103123, 267.1380803490347]","[276.6962385138196, 288.3475375624249]","[339.35559940725426, 367.202627675668]",False,True
4.375817060470581,"[260.5032462502213, 270.7966176592166]","[280.6217089877123, 292.3933943014819]","[340.8093899190089, 365.85373101819306]",False,True
4.428126096725464,"[263.92304476515153, 274.44421651408857]","[284.54521828901125, 296.43993595582924]","[341.97985149302093, 364.75988548719505]",False,True
4.479811906814575,"[267.3541689745008, 278.08116385516433]","[288.49239452048715, 300.4871569073542]","[343.11242093492444, 363.6947341075767]",False,True
4.5317769050598145,"[270.7945222233911, 281.70938226604994]","[292.43881217423154, 304.5351010947818]","[344.03532488902795, 362.8218410885635]",False,True
4.583807945251465,"[274.24330589663504, 285.3295881305868]","[296.3973394423277, 308.5837696195516]","[344.87836732439246, 362.0205864536843]",False,True
4.635968923568726,"[277.69901389481305, 288.9431848941444]","[300.3562070807335, 312.6331905687539]","[345.57079981779964, 361.35967635576174]",False,True
4.687834024429321,"[281.20693869455846, 292.50611387778406]","[304.4056253763552, 316.06231867249795]","[350.7924799745435, 356.2928983639658]",False,True
4.739860773086548,"[284.7571433564068, 296.0269158044984]","[308.45468933095043, 319.5074878224271]","[355.02046618483274, 352.0801926714348]",False,True
4.791790962219238,"[288.33972746041974, 299.51476478208406]","[312.5047522456166, 322.9389223545288]","[358.2584104012916, 348.7848977585664]",False,True
4.844182968139648,"[291.88445018620166, 303.0410858326855]","[316.5557489962741, 326.40235950048174]","[354.4722725781925, 352.63210506014593]",False,True
4.896910905838013,"[288.4446926937142, 306.6698691364042]","[320.608358709684, 329.8355872365204]","[-343.9757492487463, 362.87833037187335]",False,True
4.948803901672363,"[292.4739454782654, 309.63046391499665]","[324.7453141264793, 333.3259956706367]","[402.92527845511825, 296.05947785924525]",False,True
5.001008033752441,"[296.47435047370965, 312.62992375311165]","[328.73767613275237, 336.7790214465048]","[400.040499544425, 299.9459838115026]",False,True
