delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.5700000000000003,3.001039743423462,"[190.16781903216847, 151.828001647342]","[195.10303330763406, 163.7747249134126]","[123.38643978162824, 298.6679440485453]",False,True
0.01,0.5800000000000003,3.0542290210723877,"[191.29770812504216, 154.86131097090754]","[195.81706456433292, 166.99454224927018]","[112.98890928736873, 303.3309323565527]",False,True
0.01,0.5900000000000003,3.107120990753174,"[192.38173996833675, 157.91285724162663]","[196.71770231381043, 170.1190287237486]","[108.40318432945728, 305.1546270719074]",False,True
0.01,0.6000000000000003,3.160184621810913,"[193.3677795656715, 161.00898786460763]","[197.31180238859423, 173.3934921141962]","[98.60395973347626, 309.6130622981021]",False,True
0.01,0.6100000000000003,3.2129294872283936,"[194.30485133494017, 164.1187552949194]","[198.05302655356456, 176.5578041969393]","[93.70717692686596, 310.976743031177]",False,True
0.01,0.6200000000000003,3.2660202980041504,"[195.15070921757396, 167.2706554350985]","[198.5340486753692, 179.87823415423037]","[84.58578826337968, 315.1900140179093]",False,True
0.01,0.6300000000000003,3.3190507888793945,"[195.94469121328922, 170.4326055838385]","[199.12054315080505, 183.08038434262846]","[79.39819957152473, 316.19501487399907]",False,True
0.01,0.6400000000000003,3.373035430908203,"[196.65467212236146, 173.633835725776]","[199.49453302531973, 186.43873520976658]","[70.99809090722539, 320.1230141937526]",False,True
0.01,0.6500000000000004,3.4259486198425293,"[197.31041116514106, 176.84248490744443]","[199.93331545353382, 189.67706171978534]","[65.57390427796105, 320.86491816684236]",False,True
0.01,0.6600000000000004,3.479048728942871,"[197.88946180426646, 180.0871749448584]","[200.20562147066352, 193.0659166350622]","[57.905063912539816, 324.4690037413955]",False,True
0.01,0.6700000000000004,3.5311007499694824,"[198.4128134402927, 183.33750077876996]","[200.50618449000675, 196.33878722958343]","[52.335163602624085, 325.0325833911571]",False,True
0.01,0.6800000000000004,3.5841152667999268,"[198.86661028905905, 186.62027343134983]","[200.68176832993618, 199.7513487843517]","[45.37968487663568, 328.2772652579867]",False,True
0.01,0.6900000000000004,3.6372501850128174,"[199.26452248741774, 189.90759960663044]","[200.85614702655545, 203.05689065732392]","[39.79121983586727, 328.7326175280608]",False,True
0.01,0.7000000000000004,3.6910784244537354,"[199.599633119202, 193.22347696376855]","[200.94005564853526, 206.4869742947413]","[33.511063178427065, 331.5877357138117]",False,True
0.01,0.7100000000000004,3.7449440956115723,"[199.88026903747215, 196.54335228411026]","[201.00279628758133, 209.8228429420321]","[28.06359182701431, 331.98753203417067]",False,True
0.01,0.7200000000000004,3.7990024089813232,"[200.10436466898219, 199.88765851738273]","[201.00073378355214, 213.26487420680826]","[22.409563151003866, 334.4306233272486]",False,True
0.01,0.7300000000000004,3.8520030975341797,"[200.27724257259015, 203.23574203646163]","[200.96874333866117, 216.62806815234387]","[17.28779036079554, 334.8083519078887]",False,True
0.01,0.7400000000000004,3.9059436321258545,"[200.39932911656865, 206.6040109847821]","[200.8876666338575, 220.07707999834247]","[12.208654397849767, 336.82689483204626]",False,True
0.01,0.7500000000000004,3.958989381790161,"[200.4754510385252, 209.9759707395058]","[200.77993196241582, 223.46380406248812]","[7.612192195654641, 337.1959754723714]",False,True
0.01,0.7600000000000005,4.012051105499268,"[200.50607990584643, 213.36386299189945]","[200.62859026076453, 226.91542729172582]","[3.0628867321253956, 338.7892252393639]",False,True
0.01,0.7700000000000005,4.064993143081665,"[200.4980185643148, 216.7552921322358]","[200.4657695392686, 230.32100487842231]","[-0.8061341531641691, 339.1429140336366]",False,True
0.01,0.7800000000000005,4.118008613586426,"[200.44943821822625, 220.15852307153196]","[200.2551144703887, 233.77144381857698]","[-4.858034608856222, 340.3230939296155]",False,True
0.01,0.7900000000000005,4.170943737030029,"[200.37135481810347, 223.56487452669055]","[200.05902002018107, 237.19027805609485]","[-7.808340012277614, 340.63514551585956]",False,True
0.01,0.8000000000000005,4.224002122879028,"[200.2575699808529, 226.97915291427378]","[199.80243049438886, 240.63626480975023]","[-11.378483725057041, 341.4278387583249]",False,True
0.01,0.8100000000000005,4.277037620544434,"[200.1251435456678, 230.39569227094165]","[199.59543863624594, 244.0618485968473]","[-13.242643518509118, 341.6539356667859]",False,True
0.01,0.8200000000000005,4.330027341842651,"[199.96186021306644, 233.8166683964803]","[199.30872860746365, 247.5005722746448]","[-16.328333260137622, 342.09761255386695]",False,True
0.01,0.8300000000000005,4.384066104888916,"[199.79212072835008, 237.23844428418352]","[199.11316535441787, 250.92554756637426]","[-16.97394847163527, 342.1775887703192]",False,True
0.01,0.8400000000000005,4.438558578491211,"[199.59656992021544, 240.6616672633108]","[198.814370032059, 254.35455919055923]","[-19.555080813464986, 342.32229791272715]",False,True
0.01,0.8500000000000005,4.49213171005249,"[199.40764074489746, 244.0834988743929]","[198.65192809365877, 257.7708255404989]","[-18.89291753179778, 342.18316110820905]",False,True
0.01,0.8600000000000005,4.545856475830078,"[199.19828971269675, 247.50438380358713]","[198.3608902776588, 261.18792389321436]","[-20.935103220070566, 342.0884929194235]",False,True
0.01,0.8700000000000006,4.598942279815674,"[199.00905687719262, 250.92086594257094]","[198.25213079502055, 264.5867949590021]","[-18.923283550412997, 341.64821389838204]",False,True
0.01,0.8800000000000006,4.651910066604614,"[198.80523036482373, 254.33467317017647]","[197.9899300784941, 267.9899025764395]","[-20.382651236888684, 341.3807227605527]",False,True
0.01,0.8900000000000006,4.704874038696289,"[198.63496528591034, 257.7401998245299]","[197.95391115222114, 271.36230691940375]","[-17.0265078913395, 340.55266543534174]",False,True
0.01,0.9000000000000006,4.757857084274292,"[198.45640934351889, 261.14202933823094]","[197.7421921112512, 274.74934781133203]","[-17.855594239144114, 340.182951370103]",False,True
