timestamp,particle_position,user_goal,velocity,collision
8.231008768081665,"[65.27086177136887, 185.86868206602753]","[80, 190]","[26.29635016701242, 75.4564460994936]",False
8.286593675613403,"[66.93952278871377, 190.2994776734387]","[80, 190]","[33.373220346898066, 88.6159121482232]",False
8.342857837677002,"[69.389422983597, 196.28052117879952]","[80, 190]","[48.998003897664674, 119.62087010721612]",False
8.398857831954956,"[66.54575544856016, 187.4530833730484]","[80, 190]","[-56.873350700736815, -176.54875611502212]",False
8.455657958984375,"[68.4309457083027, 192.3977848075494]","[80, 190]","[37.70380519485091, 98.89402869002033]",False
8.511897802352905,"[71.21132046106773, 198.71156570577628]","[80, 190]","[55.60749505530053, 126.2756179645375]",False
8.568304777145386,"[62.922029729650276, 179.1539025686681]","[80, 190]","[-165.78581462834907, -391.1532627421639]",False
8.625300884246826,"[64.05435750372693, 182.60783693363763]","[80, 190]","[22.646555481533035, 69.0786872993908]",False
8.682068824768066,"[65.4100847356546, 186.44434215683538]","[80, 190]","[27.114544638553348, 76.73010446395517]",False
8.738825798034668,"[67.15119206069107, 191.00584912405952]","[80, 190]","[34.82214650072946, 91.23013934448319]",False
8.795699834823608,"[69.7947916346513, 197.37046729658866]","[80, 190]","[52.871991479204546, 127.29236345058253]",False
8.853235960006714,"[64.95621634514329, 184.28040440537805]","[80, 190]","[-96.77150579016033, -261.80125782421226]",False
8.90958571434021,"[66.44941513223765, 188.4108829129893]","[80, 190]","[29.863975741887064, 82.60957015222526]",False
8.965643644332886,"[68.4946935744197, 193.61177757862208]","[80, 190]","[40.905568843641085, 104.01789331265527]",False
9.023078918457031,"[69.82757735657907, 195.39417007064785]","[80, 190]","[26.657675643187428, 35.64784984051513]",False
9.08002257347107,"[68.02291921972474, 189.0535447148634]","[80, 190]","[-36.0931627370865, -126.81250711568916]",False
9.13692855834961,"[70.22830128192348, 194.75280607204778]","[80, 190]","[44.107641243974776, 113.9852271436877]",False
9.194287776947021,"[69.10784913749127, 190.14822963116634]","[80, 190]","[-22.40904288864402, -92.09152881762883]",False
9.250308752059937,"[71.63030906893144, 196.57669053348172]","[80, 190]","[50.44919862880347, 128.56921804630784]",False
9.307344675064087,"[66.72180351066142, 183.57074878610112]","[80, 190]","[-98.17011116540044, -260.1188349476121]",False
9.364572763442993,"[68.10290632147945, 187.75182462472753]","[80, 190]","[27.622056216360583, 83.6215167725282]",False
9.422234773635864,"[70.05251863726343, 193.0171776896096]","[80, 190]","[38.99224631567964, 105.30706129764128]",False
9.47902774810791,"[71.3638175239456, 194.99278577762954]","[80, 190]","[26.225977733643322, 39.51216176039825]",False
9.535999774932861,"[69.17899636432111, 187.95923371975763]","[80, 190]","[-43.69642319248986, -140.67104115743777]",False
