delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.2900000000000001,1.7884061336517334,"[118.5754941174558, 124.99208375467354]","[120.57172952282976, 127.70018565982063]","[199.62354053739602, 270.810190514707]",False,True
0.01,0.3000000000000001,1.8485660552978516,"[120.69082871470144, 127.64918838615027]","[122.80616331194715, 130.30629301762704]","[211.5334597245639, 265.7104631476732]",False,True
0.01,0.3100000000000001,1.9090969562530518,"[122.68260398848825, 130.32124150558118]","[124.674379262275, 132.99329462501214]","[199.17752737868096, 267.20531194309257]",False,True
0.01,0.3200000000000001,1.9692270755767822,"[124.81142775861778, 132.94220900064894]","[126.94025152874734, 135.56317649571665]","[212.8823770129526, 262.0967495067763]",False,True
0.01,0.3300000000000001,2.0290119647979736,"[126.81488836911176, 135.56548204729646]","[128.81834897960576, 138.18875509394397]","[200.34606104939792, 262.3273046647512]",False,True
0.01,0.34000000000000014,2.0891001224517822,"[128.97220289710796, 138.13693431778972]","[131.1295174251042, 140.708386588283]","[215.73145279962128, 257.1452270493259]",False,True
0.01,0.35000000000000014,2.1493990421295166,"[131.0029497578497, 140.7001385991489]","[133.03369661859142, 143.26334288050808]","[203.07468607417394, 256.320428135917]",False,True
0.01,0.36000000000000015,2.2098491191864014,"[133.20269151779, 143.2099037437785]","[135.40243327773024, 145.7196688884082]","[219.97417599402704, 250.97651446296396]",False,True
0.01,0.37000000000000016,2.2689743041992188,"[135.27492547326236, 145.7038988034042]","[137.34715942873473, 148.19789386302992]","[207.22339554723698, 249.39950596256912]",False,True
0.01,0.38000000000000017,2.329746961593628,"[137.52917965479344, 148.14176011172893]","[139.78343383632455, 150.5796214200537]","[225.4254181531088, 243.78613083247296]",False,True
0.01,0.3900000000000002,2.389954090118408,"[139.65494445527327, 150.56015359357139]","[141.7807092557531, 152.97854707541373]","[212.5764800479816, 241.83934818424453]",False,True
0.01,0.4000000000000002,2.450716018676758,"[141.97327717296872, 152.91851139032585]","[144.29160989066418, 155.2768691870803]","[231.83327176954506, 235.83577967544647]",False,True
0.01,0.4100000000000002,2.512272357940674,"[144.1618541923453, 155.25810840577958]","[146.35043121172185, 157.59770542123331]","[218.85770193765546, 233.95970154537366]",False,True
0.01,0.4200000000000002,2.5728280544281006,"[146.5508123193498, 157.53250627308987]","[148.9397704463543, 159.8069041404001]","[238.89581270045082, 227.43978673102743]",False,True
0.01,0.4300000000000002,2.6339480876922607,"[148.80830480387183, 159.79357433242433]","[151.0657972883939, 162.05464239175893]","[225.74924845220283, 226.10680593344682]",False,True
0.01,0.4400000000000002,2.695542097091675,"[151.27111656065034, 161.98304996641423]","[153.73392831742885, 164.1725256004041]","[246.28117567784997, 218.94756339898987]",False,True
0.01,0.45000000000000023,2.7562150955200195,"[153.60024317554488, 164.169379145558]","[155.9293697904394, 166.35570832470174]","[232.9126614894545, 218.63291791437572]",False,True
0.01,0.46000000000000024,2.8177342414855957,"[156.13673385389518, 166.2766123255153]","[158.67322453224554, 168.38384550547266]","[253.64906783503068, 210.72331799572996]",False,True
0.01,0.47000000000000025,2.8785412311553955,"[158.53683316886017, 168.39536549394418]","[160.93693248417196, 170.51411866268572]","[240.00993149649796, 211.8753168428885]",False,True
0.01,0.48000000000000026,2.93540096282959,"[161.1435513552868, 170.4266103980348]","[163.75026954171344, 172.45785530212544]","[260.67181864266314, 203.12449040906105]",False,True
0.01,0.49000000000000027,2.992382049560547,"[163.6107828220986, 172.48797365469434]","[166.07801429016402, 174.54933691246367]","[246.72314668117906, 206.13632566595555]",False,True
0.01,0.5000000000000002,3.050615072250366,"[166.28131540205158, 174.45277879561658]","[168.95184798317294, 176.41758393750183]","[267.0532579952963, 196.4805140922231]",False,True
0.01,0.5100000000000002,3.108819007873535,"[168.8090298325218, 176.46943641506428]","[171.3367442616097, 178.48609403330317]","[252.77144304702236, 201.66576194476883]",False,True
0.01,0.5200000000000002,3.16668701171875,"[171.53447064301017, 178.38017135879048]","[174.25991145432548, 180.29090630318964]","[272.54408104883925, 191.0734943726189]",False,True
0.01,0.5300000000000002,3.2253010272979736,"[174.11371487706336, 180.36664137683442]","[176.69295911088741, 182.3531113946786]","[257.9244234053181, 198.6470018043948]",False,True
