delta_t,time_steps,timestamp,particle_position,user_goal,velocity,collision,success
0.01,0.3000000000000001,1.5964937210083008,"[120.68958542568333, 127.65270469960404]","[122.79875676438887, 130.31185052410797]","[210.91713387055364, 265.91458245039234]",False,True
0.01,0.3100000000000001,1.6489589214324951,"[122.68714439622849, 130.32337610882695]","[124.68470336677365, 132.99404751804983]","[199.75589705451569, 267.06714092228907]",False,True
0.01,0.3200000000000001,1.701171875,"[124.80930244724536, 132.94605573546573]","[126.93146049826221, 135.5687353621045]","[212.21580510168607, 262.2679626638771]",False,True
0.01,0.3300000000000001,1.7530250549316406,"[126.81901946490932, 135.56823753683457]","[128.82873648257328, 138.1904193382034]","[200.97170176639594, 262.2181801368839]",False,True
0.01,0.34000000000000014,1.8062629699707031,"[128.96922901334761, 138.1411102627955]","[131.11943856178593, 140.7139829887564]","[215.02095484383048, 257.287272596092]",False,True
0.01,0.35000000000000014,1.8576130867004395,"[131.00667335288057, 140.7034311494483]","[133.04411769241355, 143.2657520361011]","[203.74443395329678, 256.2320886652799]",False,True
0.01,0.36000000000000015,1.9097208976745605,"[133.1989384653543, 143.21439288308895]","[135.39120357782804, 145.7253546167296]","[219.22651124737342, 251.09617336406416]",False,True
0.01,0.37000000000000016,1.9621870517730713,"[135.27827458951907, 145.70760217044267]","[137.35761071368387, 148.2008114577964]","[207.9336124164783, 249.32092873537215]",False,True
0.01,0.38000000000000017,2.0153510570526123,"[137.52474966624158, 148.14653178666933]","[139.77122474296408, 150.585461402896]","[224.6475076722504, 243.8929616226659]",False,True
0.01,0.3900000000000002,2.0663387775421143,"[139.65798023360443, 150.56410507905446]","[141.7912108009673, 152.98167837143959]","[213.32305673628582, 241.75732923851285]",False,True
0.01,0.4000000000000002,2.1183149814605713,"[141.96830002249388, 152.92352141224916]","[144.27861981138332, 155.28293774544386]","[231.03197888894442, 235.94163331947016]",False,True
